GENE_ID,MMRF_2834_1_BM,MMRF_1107_1_BM,MMRF_2695_1_BM,MMRF_2251_1_BM,MMRF_1151_1_BM,MMRF_2516_1_BM,MMRF_2401_1_BM,MMRF_2522_1_BM,MMRF_2353_1_BM,MMRF_1310_1_BM,MMRF_2230_1_BM,MMRF_2579_1_BM,MMRF_2035_1_BM,MMRF_1833_1_BM,MMRF_1349_1_BM,MMRF_1189_1_BM,MMRF_2076_1_BM,MMRF_2853_1_BM,MMRF_1520_1_BM,MMRF_1388_1_BM
ENSG00000167552,0.20631524315000002,-0.605456343736,-0.118775804866,-0.20535132075800003,-0.694895292289,-0.659855557789,2.8297055044,-0.728324101743,-1.11244917782,-0.7738921238969999,-0.893548228331,-0.955943862953,1.09051808761,-0.506813726564,0.416940031135,-0.705620750812,0.377185621443,-0.871792489813,0.192761507808,1.09862196954
ENSG00000160888,-0.0340512019827,0.0887778025454,-0.8367619971160001,-0.7838340616889999,-0.0233392360238,-2.5713308493200002,0.376621790491,-0.317814814147,-2.20318949387,0.10436980245300001,0.0336018412309,0.9285946473000001,0.646891792867,0.695020072225,0.36282129490099996,-2.0500895335,-0.6936842093629999,0.6594700252369999,-0.757710749114,0.479442955849
ENSG00000146859,-0.09204965546569999,-0.860835553477,1.3795397143500001,-1.4317381871500001,-0.07777660735280001,-0.332611170056,0.40063371976400003,-0.462908507574,1.4112711596599998,0.19103560772300002,-0.507827185945,0.7132083097380001,0.610484898648,2.5720316905200002,0.049022759673199995,0.7322735175660001,-0.178545717372,0.535836285146,-0.587545663802,-2.22235767783
ENSG00000123349,0.962491644079,-0.412860347011,-1.3963658948299997,0.0824178131508,0.560417961154,0.0410480362263,-1.95220081993,0.103225080778,-0.040731696107999996,0.889216033558,0.359561027759,-0.259330137056,-0.0204050584497,0.425656115595,-4.01,-0.180876258678,-0.952497352497,0.515108007092,-1.15420494045,-0.43174560188699995
ENSG00000142627,-0.35293517043899997,-4.01,0.5204533037910001,-4.01,-4.01,-4.01,-4.01,-4.01,-4.01,-4.01,-4.01,-4.01,-4.01,-4.01,-4.01,-4.01,-4.01,0.7722200719840001,-4.01,-4.01
ENSG00000107771,1.0634326608700002,0.32199148262899996,0.9232256741949999,-1.48349664294,-0.276489591087,0.5924806468689999,0.696755208008,-0.0507326806755,-0.6742523576899999,-0.41735256195799997,-1.2590082010299999,-0.879849351686,-0.44478747328199997,-2.30950543407,0.836739664709,0.566821521946,1.48376017109,-1.69996547397,0.16332199072599998,-0.45633777583400004
ENSG00000165699,0.9083554347120001,0.461929341353,2.8465230201,-0.685872835798,2.0824002735400002,-0.10679883078600001,0.013037153893200001,1.1377870388,0.19563074710499997,0.315684835177,-1.58674397318,-0.379275248108,0.201093811596,1.23736717064,0.021481040792900002,0.406841493725,-0.853089389632,3.05496559773,-0.774773184796,-0.190024952609
ENSG00000206199,1.8543731856099999,0.7539042023729999,1.5965661749899998,-1.07146480874,-0.292692770098,-0.388875700501,-0.422796730357,-1.3556906547299998,-0.606078301634,-1.8318959767299998,1.52302882083,0.013594123161599999,-0.406216759507,0.37465453972499996,-0.779649011939,-1.0009895285,0.397032614534,-1.24591716713,0.29910845351599996,0.0384158080053
ENSG00000175455,-0.8571371121349999,0.117235895287,-1.43772145806,0.9752704611570001,-0.8067042030830001,-0.6404058905969999,0.878815198338,0.6708881932249999,-0.330519176694,0.700082561373,-0.787870615688,-0.0122615792991,1.5305621447,-0.6324905958120001,0.652843131626,0.623529224971,-0.485861413212,-1.1510440817899998,-0.4756600935,-0.170616810187
ENSG00000174437,2.24763117901,0.9364756924809999,1.20223442467,0.307818696095,-0.0201861993183,-1.12890561843,1.99287851305,0.56895177164,-1.13558281154,-0.150546022379,-0.573133079526,-0.557438727527,-1.29552208872,-1.40883886981,1.01483945344,1.9386653670599998,-0.48722957927,-0.0555833195333,0.633729180974,-0.565295051185
