ENSG00000044574,ENSG00000078061,ENSG00000125827,ENSG00000152684,ENSG00000168268,ENSG00000174437,ENSG00000179195,ENSG00000183580,ENSG00000186310
ENSG00000063245,ENSG00000132912,ENSG00000140262,ENSG00000166441,ENSG00000170325,ENSG00000172795,ENSG00000174444,ENSG00000180573,ENSG00000270011
ENSG00000051620,ENSG00000111783,ENSG00000134077,ENSG00000162819,ENSG00000167220,ENSG00000167524,ENSG00000172985,ENSG00000197013,ENSG00000197361
ENSG00000027697,ENSG00000065600,ENSG00000117153,ENSG00000118689,ENSG00000174448,ENSG00000176387,ENSG00000178951,ENSG00000187231
ENSG00000083454,ENSG00000153956,ENSG00000166866,ENSG00000196367,ENSG00000197361,ENSG00000213185,ENSG00000257950,ENSG00000278780
ENSG00000015133,ENSG00000075975,ENSG00000080802,ENSG00000083454,ENSG00000099246,ENSG00000188229,ENSG00000257950
ENSG00000087095,ENSG00000117543,ENSG00000127837,ENSG00000130770,ENSG00000173175,ENSG00000236014,ENSG00000243696
